block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
94990	4de75a1ac06739e63d3a6191fb49bb58ba04f4021e30ce3b414c4559c5e0b5eb	0	2010-12-02 00:13:37	5000000000	10.5	1Gs9qe1LCsTytoJ1TnjSKNw3VUtDZWgBN3	pubkey	41044f1e57c7c447755c0196867d5a18591f62970aaac5c405d5c088788e1a03969b2fdbf1f66eb9dce1f42a2a82a529ad0f9e655320aa9cafe95da8a64f29bca6aeac	1	1
94990	04247f31b1b8ee2ad42351d24dd85d04e1fde52e89d5e0f09803f1885881dce5	0	2010-12-02 00:13:37	439560000000	923.076	1JiTbxqmmkC9izgpC9QLcqGWbQs42PtC7r	pubkeyhash	76a914c251665040e69a3a5f670503da387430db32032488ac	0	-1
94990	04247f31b1b8ee2ad42351d24dd85d04e1fde52e89d5e0f09803f1885881dce5	1	2010-12-02 00:13:37	208000000	0.4368	19QpwgbQVNj2avoWABAPxtpQGNpc9EJked	pubkeyhash	76a9145c4298124680f463d35593ab0717c42b6f1077b988ac	0	-1
94990	3e10587d2c7470abfa11b3006895c388dd1244f038b4a02239e399a8f7abfabd	0	2010-12-02 00:13:37	2000000000	4.2	14jhANvgxsqsaaWRJcSAitzDjGTM6XaS4v	pubkeyhash	76a91428fb5f7f5bff232129cbca69a53dea60adda4ed988ac	0	-1
94990	13892551e9c4c88d2f52f5e3ae71146f3082501ba38dfa6209a859ad098204a5	0	2010-12-02 00:13:37	13000000	0.0273	1DTZscxBu9nGcnmRE5d3tucgfTAqsdfV42	pubkeyhash	76a91488a7c3e496acc8cdbcaaca247d6046a368bfc79d88ac	0	-1
94990	13892551e9c4c88d2f52f5e3ae71146f3082501ba38dfa6209a859ad098204a5	1	2010-12-02 00:13:37	164000000	0.3444	15nmBheC4e1YMNSATZr6pext141KGoFED4	pubkeyhash	76a91434881ad2829b6956a6647a47fde50e18144d80d988ac	0	-1
94990	61c28c2ef68b721336a28a0ffeba00b1d3d3610773463df0f3318ee2c00c4965	0	2010-12-02 00:13:37	3884000000	8.1564	1GYw1LVM4nkp9AL5cVHap2RHeW7GZV1M9T	pubkeyhash	76a914aa93dd03b9a6e72d154a90efe19ab97fece6b10e88ac	0	-1
94990	61c28c2ef68b721336a28a0ffeba00b1d3d3610773463df0f3318ee2c00c4965	1	2010-12-02 00:13:37	5000000	0.0105	1FP6wMRSCPp6SoCd6mgGYSZxoqhcSgHG9z	pubkeyhash	76a9149dbfde40e8c046484481f15328bc6c244b19291588ac	0	-1
94990	77f2ea5671da439c24ee00e0ca40e973034607273aa583eec0edfb0f7053005f	0	2010-12-02 00:13:37	5000000	0.0105	13zQUs2UERKENBvmtcDD33oEwsn7UbzXon	pubkeyhash	76a91420cb8fd41dfc76c757dfba9c183834df3f09626388ac	0	-1
94990	77f2ea5671da439c24ee00e0ca40e973034607273aa583eec0edfb0f7053005f	1	2010-12-02 00:13:37	1580000000	3.318	1Lazyyuwy8L6iZv9tAFez2AtiBbdHbp4Hr	pubkeyhash	76a914d6d8849717641a573d77011f3df6ca1b9f715a8388ac	0	-1
94990	d3eb7662d3617c777b377cb3fc8f855594848f746ec452468123c1a0453acf36	0	2010-12-02 00:13:37	5000000	0.0105	1LH2M3VFLnbjTY6aARhuVEA6JejgeNJxdE	pubkeyhash	76a914d3722b23048c36e684e9314f5a485da54f2b0b0c88ac	0	-1
94991	404be35be9e81d26b4ce580710e2b81b41b162e335841d797cf51658c5eb206a	0	2010-12-02 00:22:40	5000000000	10.5	16KFajsYSF95J41xRDzWPbR9CFxPtNzhki	pubkey	41046a4c9dde1c997dc2e15a18e0315da5a8f783a241900d68e18dcfb9a716e2b12a1e198c364ad4d26978167937602e7c94b37d8d03b25132185f1d1e03bfbd60b7ac	1	1
94992	25faea1378fb1c92a93efc77ae2a54c927d8f031f6b8dcf1c7d51529b8eb6d22	0	2010-12-02 00:22:37	5000000000	10.5	17UmpnG74M5cSKZZzXSZkVyAoz3jJaJLNy	pubkey	41048b1e4f00fdea6db82f2c5c858425696c1c23d34a8cf921ab7049ee864ba68cf8d69b9cca7b667d9ae56bf83258b876669c4cad0bb7784774737851e5917469dbac	1	1
94993	265d825eb61a455bc332e253c5f9b05dd62df670429075ae2bce09f4a891a0b0	0	2010-12-02 00:51:32	5000000000	10.5	1CazHLFe7wDeY8xQfcjckqNGa1pjj8gHAv	pubkey	410459a6a3779ac0c673631e5eb35e4ee96f289093b5c53e588b0c0cdf5e171ee2ecbbbbf224cf57304e2b87247d1a72c252b2d4c6b9af1fa818d212f23ce0231843ac	1	1
94993	46f726a44ee547b187664bc7eb45be4595c41a311ecd6c89fbaf3e55777db23f	0	2010-12-02 00:51:32	5000000000	10.5	194eKgMqNgfsCYSK1ga2qKZ5HFWdBW47BL	pubkeyhash	76a914587168b62cb140457195f77e1f99b558c197e15388ac	0	-1
94993	2dff74b344db93c1bca1bde04c0153c83c9d755574c610bfdfdaae2216cf4369	0	2010-12-02 00:51:32	5000000	0.0105	19icXuBQjwFvwDXMZuxUZDfUkC2pJLFyxL	pubkeyhash	76a9145f9fb8d1d2d38b03cd9ef3f693e3e0a2de742c7488ac	0	-1
94994	063d9bb67804638cf7ba5a2ae1cc38a5f6a3d3f6fee143e5e17b15e936980a0c	0	2010-12-02 01:38:49	5000000000	10.5	19VDVMtAdzXk7sJ25f1cyUwnNt3WrHn9X1	pubkey	4104642ad1e23aadc9d08c000d9ac20912fa2c3e4c2abdffd02e2f7696f35ccfa776026d060ed2dfe3d6bea2c289c01f32258774c571714cee6b1fc4bf48a86e41f0ac	1	1
94994	34c4abf79e2d28fa48a324e30893102325b6cccb32a4b37237aa195582aba043	0	2010-12-02 01:38:49	1575000000	3.3075	1Ea1qrUp72BgyVKwVyH9NSo5hEX942hYzj	pubkeyhash	76a91494d810a67cd24cac0f616d0a31ba882ffc243caf88ac	0	-1
94994	34c4abf79e2d28fa48a324e30893102325b6cccb32a4b37237aa195582aba043	1	2010-12-02 01:38:49	5000000	0.0105	1LNcm9WfCBmtdXMERVN2XL76DccvsmNxos	pubkeyhash	76a914d480fa1c53784740a78625ef63dccd7826fdc2e488ac	0	-1
94994	3f6c9c6d10f5de9987ea9ccc93de4de6e623d473c096d38a1b6295daa90b3d50	0	2010-12-02 01:38:49	3879000000	8.1459	1LRKr9pFgdf21rjaggqAdNcW5fspmqpzvc	pubkeyhash	76a914d5041b24e832c57f0eb740933f60f3272ab700bb88ac	0	-1
94994	3f6c9c6d10f5de9987ea9ccc93de4de6e623d473c096d38a1b6295daa90b3d50	1	2010-12-02 01:38:49	5000000	0.0105	13f5QHatz4a7cdde6iHGbz18RU2YJscQxX	pubkeyhash	76a9141d23bb77307b2605936018d8639c33f5d5bf6a1988ac	0	-1
94994	83d3caf49b00a7bbd2907510f3a01c14ea51ad992820f6c504462c393bf19e18	0	2010-12-02 01:38:49	20000000000	42	1BwCvL23hSihPfXNgn8KpxyrZX1VxRUu1X	pubkeyhash	76a91477f1ab6cb151184ed1e155ab59f3c8a154c5dfa388ac	0	-1
94994	8da2d39f89e4d7c9a9d75784f3a77b3c77d5ae5b49495eb33fe3063d5a79f1fd	0	2010-12-02 01:38:49	104001000000	218.4021	1J4p7k44fytQnwLe6tA2V4eZsvC6YXb7xi	pubkeyhash	76a914bb32b784e214169367d6da2df10fced996ee6ce988ac	0	-1
94994	93c013cf9921f343e8d6d55948bcf42bbf2a9bb448557f47fd26ce84792f5827	0	2010-12-02 01:38:49	10000000000	21	16NppgM8D4cJrkX8sqpH2v8fqkWzbBZYwm	pubkeyhash	76a9143af948b0b2bdae673c801791bc15bccd297adef488ac	0	-1
94994	a708bcd6df8bb226dbf1e30d4ec63a57f5869183f67dbb9dcce080a71afd7f19	0	2010-12-02 01:38:49	6036000000	12.6756	1LtsCtGRjHpHS1kBMjiqJQiLV7A9rsibqg	pubkeyhash	76a914da39834c03f4a2b4e9d9f91c42b1fe6c698e415f88ac	0	-1
94994	a708bcd6df8bb226dbf1e30d4ec63a57f5869183f67dbb9dcce080a71afd7f19	1	2010-12-02 01:38:49	13857000000	29.0997	14bWcjjtPpLsiiEfwtrK5X6co2nwCM7FZ7	pubkeyhash	76a914276f3e0c15201bcd97f86334766074a4d11130be88ac	0	-1
94994	c7873824b3d79903987b90b095cd32ae4feb47b45e2284f281a77478b5500500	0	2010-12-02 01:38:49	5000000	0.0105	1BBG6Her2GYpo98zYE9h6Wg2RPUv8a481L	pubkeyhash	76a9146fa203d1beeca560bca76dfde3ac8c6bcb96e84388ac	0	-1
94994	c7873824b3d79903987b90b095cd32ae4feb47b45e2284f281a77478b5500500	1	2010-12-02 01:38:49	43271000000	90.8691	1C6SxUEvxpen6MvqjJ9WnVw8tHk9bFyfkW	pubkeyhash	76a91479b12176db8a29409c1ec0c3d807acfb3181e66888ac	0	-1
94994	d2f425115eb237026eb867a759de2c7a7bb58003ab7f24171c61facc94776951	0	2010-12-02 01:38:49	5000000000	10.5	1HhZthMyGqudigjazv9uNdFgmFW5EY17Tp	pubkeyhash	76a914b72e1b7797ea00282747c2b5fca093f2b4ecced788ac	0	-1
