block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
83527	ad10b73270629202d58695f2ddf4e0de1743e495a14f860d78b704f3059e78ce	0	2010-10-05 00:16:29	5000000000	3	18TdJoRERdNzHRg2hJ3BSy2o8zAJNMvutv	pubkey	41049ad33f75920a13e7ad40c85c5e794463db53b6a7f959cd2cecc4129559b423c56d1ed2d59c4261fd544ebc1df60956f2cc158d9bce2743200e2ecd23d0113c92ac	1	1
83528	937808491aeb401f0dc5d1e938639c58d7b3b44336ae02f2681f7721995ea092	0	2010-10-05 00:27:39	5000000000	3	1K8YcM8CSkVNhhQGAEaxujQTh1C4nFt1r4	pubkey	41048f1587ce298635ed4f60ff58f9886f52edbf8e130e190ee9a4e211ec1b24ab6d4648e03b1e2edd803999ba50f93eb9cdbba0361279f52f47916d57ce9f1ddd08ac	1	1
83529	cce6ab3b529b53f66644cb95cda593b157565de2c646ae9feb2080ffd4a63758	0	2010-10-05 00:34:26	5000000000	3	17TkJDXG4NEck6iTxgfoGHw1q9Snz7fSCD	pubkey	410441cf7c3ec69c189a43c8e424c57d49548d538474903fb82dd1d8f2dbda6d1904e7d5eb06b8030b96412f758c58a2d46044e1498aaad71e8fea8f1e18c12d4a77ac	1	1
83530	e9bd64c1279b3e089654c8ce1ab1597033fab87b5b5daee991e927302c133054	0	2010-10-05 00:48:37	5000000000	3	1Q9XEsWpHkJ3tYuwLbBbi5ipAwbHeYu9Ls	pubkey	4104253bb78c66ec9132b450d97c425723297328a2b1435c4715b689fbb63f7cf4a8be9dd5f4af03b7a70f8797c7f35ff071b854b08e74e7415374b5858bb24df09dac	1	1
83531	89abc9d73ebc102c77ace5d86f645f8fcf959636aa58ce46d9ffc26aa4005702	0	2010-10-05 01:50:41	5000000000	3	15AF4wk2fH6YMdgYqv7e7GxvREvxSy3V7d	pubkey	410437afb2f371a833f30cea38c3a492cbc34d0441a145a835c0140f6f1d9476785fac67b9f65058ec101c6fc5b195c0c33520cc086c4713374d85fbaa1d36e5539eac	1	1
83531	062b89f4838db3485e18556db8b31fa200c807e79a40a2b1ab6786065b016e9e	0	2010-10-05 01:50:41	276500000000	165.9	1Bijt62JjpKkpYXLfHjR7hRMtC5RdiLgke	pubkeyhash	76a91475961b7c26dad6154394b8b2b6b6ae3268d5914788ac	0	-1
83531	3e9ff40e1bf20f8609a9a892b3ffaca377d6da9269b39c5668fa6f01c390069e	0	2010-10-05 01:50:41	50000000	0.03	1M3AGxxfk9rMJjzc4CATCBgGwYyCDsWFpu	pubkeyhash	76a914dbcb1716dc66ac667b82d964d761a485c5dbbaad88ac	0	-1
83531	3e9ff40e1bf20f8609a9a892b3ffaca377d6da9269b39c5668fa6f01c390069e	1	2010-10-05 01:50:41	27357000000	16.4142	1AbBubU8gBj1cDR2vAqx81b8VcYu452j8S	pubkeyhash	76a9146930611939503711acd9975328885e250651f7d488ac	0	-1
83531	6cffca1eb6070743e6c777bad31b710dc1a3c304170465ebc526ea685c6642b2	0	2010-10-05 01:50:41	4500000000	2.7	17NSfdzSENtFGaN7MjikoUGChz8YoC3q6m	pubkeyhash	76a91445deea396a965328ed3c5e0fd142c1988ac2def288ac	0	-1
83531	6cffca1eb6070743e6c777bad31b710dc1a3c304170465ebc526ea685c6642b2	1	2010-10-05 01:50:41	500000000	0.3	16r7gfMecotoNbstCc5a2363K1TGqv3ftb	pubkeyhash	76a914402297256ed9d0af15277529d3a61f2377d1eddb88ac	0	-1
83531	99effb22bdd8280a0816516b45a2a32f34a427a409ec36c7ff00d164434f1bc8	0	2010-10-05 01:50:41	50000000	0.03	1K9ximuqSAYj1sN8pLQm6zRejkycgWFA7d	pubkeyhash	76a914c7241acf1203344401b973631a7805731cffd16f88ac	0	-1
83531	99effb22bdd8280a0816516b45a2a32f34a427a409ec36c7ff00d164434f1bc8	1	2010-10-05 01:50:41	27307000000	16.3842	1MBLQqjVMuThaEs7SiSJo4vDbxm7STofC6	pubkeyhash	76a914dd56e0f9d535aab45cfb492cf98e2499ab33a7c788ac	0	-1
