block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
86983	5fede119866cd8aa1d220557a2f336cbcdd812423c03fed0552080aed578790e	0	2010-10-23 00:02:31	4500000000	4.95	1P2eWrjM66XwTuAb8N7TPb2KH7Mqqa8DUz	pubkey	4104ea2d009d26d01d37103ecd51076c527b9315f025ad05f5856d7a9545094e3181b00d9af37f0ca05cb3468f03c35630942b1eaf31abe0c527d0e2c8c687dd4383ac	1	1
86983	5fede119866cd8aa1d220557a2f336cbcdd812423c03fed0552080aed578790e	1	2010-10-23 00:02:31	500000000	0.55	1HZNsUqQxKVLmfPfCAzLwrnVDzx8CxwxnM	pubkeyhash	76a914b5a1946b352902aef52a059836bc7b8a44af091088ac	1	-1
86984	7d9e39acb12da16245d41556c5a0ddbe668a40922e3431975fee3bc5fedc665e	0	2010-10-23 00:38:20	5000000000	5.5	1MUzSa9jYY1GAKPgoURQdoTxoubDzLzNeP	pubkey	410481d1c2b1e4c70510a50fd05f66331c3c3961330753db150e9319740e0ab044605f70231a7a40be5a9e89b6e969359ba4ce88385ad3dae8048679c4e92b7674e5ac	1	1
86984	014204524bd29d1da2c7a114072666cc1d856ba694d7d960e5c0ff25465d9c19	0	2010-10-23 00:38:20	5000000000	5.5	1Jn1sEPFhu7ZA4DywybwBHRBh2yaUaMzkZ	pubkeyhash	76a914c2fd945d0b8c880d832d59932efc66745b6ea9e088ac	0	-1
86984	24ddbb97a4b79f3d192e7e2508e3b6cbb98763386984cdbf448451f246f818d0	0	2010-10-23 00:38:20	1000000	0.0011	1K42THZsdpwkXXcan1q1Rs6tBiNcQSqL18	pubkeyhash	76a914c604b99dcd72a469427a02d2510eb9054e5f970b88ac	0	-1
86984	39406c206c8c2478e4d3f85b3bb053faae7bd596259a928e5f378b6c26b6659a	0	2010-10-23 00:38:20	50000000	0.055	16uBB9DSfCteNZ8Xcqsv5jZSxnDCxQCUji	pubkeyhash	76a91440b6c0a21e340bb9aca143094f5629eb4646d2d688ac	0	-1
86984	39406c206c8c2478e4d3f85b3bb053faae7bd596259a928e5f378b6c26b6659a	1	2010-10-23 00:38:20	8850000000	9.735	1CMEiZDvhHBXKdSwBNPjyojPa2BP2GgVp8	pubkeyhash	76a9147c7d271d86d7d7caef25092398f50fb79f33962f88ac	0	-1
86985	f8839b14713553a902c0568c53b6fadc6b06f5272bda476ac30da40f024c6a5f	0	2010-10-23 00:39:50	5000000000	5.5	16B1EqDjEpcidvfHVX7YeG9uYz2NDYoFix	pubkey	4104c8b5ba0526030b25bf63e2cc245fc76503721a0d95c835d9d871b52ea2d195f4358261ddc470002a003f0558f344a79f91f711feab439612a6ff6fd21f2dfd66ac	1	1
86986	cbf68d54259b112c924cd24ce29b46e22b2e66346ea2e4e2ac401596a844d4f3	0	2010-10-23 00:43:56	5000000000	5.5	1CotHWGtgvWoMs8ByDLSTysosnkiprZW9	pubkey	41041c9cc0b9fdc0d499d7db37f17fa3a370d72bce1e142bd3b9a1dfc4d25488adba4720f83f5d439d926697e957332ffc3118d68507c20c3c8f8591c6c914848f42ac	1	1
86986	1b7789123fd7cf6395ec000e35bb2cfb41b11f3298fc306fe87d2a9e86af06d6	0	2010-10-23 00:43:56	200000000000	220	13fZzb9M5MKEtBQTsH5EdwuzXXrBM8VYsV	pubkeyhash	76a9141d3b9965baf0f4d3054b0a1058321a5b1539c69488ac	0	-1
