block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
68952	bda8cc20dc7fac44be749d2c14fabeb15fa4444cd931c4bc4576e648c67a1e1e	0	2010-07-19 00:00:22	5001000000	3.5007	1Ct1ymD7dv1myJeGce9QLyzToiT2VHQNGv	pubkey	41043935f9231391f60a00bdbe015d71cde0dc9bbf4d51c9ebbceae5acb2e66197f4a3909f6da0b7b72eb0bc2483f4729ee75331cdb48bca078d977d03e66cc146b0ac	1	1
68952	00c2cc64410cef870d350d5429f3b55fa87cc6d39a587aa0047d769afe7c7368	0	2010-07-19 00:00:22	5000000	0.0035	18B1pjJtQoJAwGSJT7dqVfxE8QhKMY6Kts	pubkeyhash	76a9144eadba1f9a618c4be35e3f0780ef1c0f565f78ed88ac	0	-1
68952	00c2cc64410cef870d350d5429f3b55fa87cc6d39a587aa0047d769afe7c7368	1	2010-07-19 00:00:22	44000000	0.0308	1D5unwMVYPBHeQMQY2V8sdSw6gqM7LW16r	pubkeyhash	76a914848f3de753b2a9314b728ff13f83f7303900f40588ac	0	-1
68952	0a9479c6fbb7ca778ef3944710511e47cd328b9d42673c25170f7255cd23f9ed	0	2010-07-19 00:00:22	5000000	0.0035	1LEUYxdcKK68s79PR88CdFH3mqLTC9rdLd	pubkeyhash	76a914d2f6cbbb678be2f8bfcf3a3b7e62e5e558e554cc88ac	0	-1
68952	26f9a694e9fb3751bea0ea069f49c403598c6893acf30850c378f57aac022d92	0	2010-07-19 00:00:22	50000000000	35	19oNogyYwgodBUh6RajjY9sipoZWVbDMBJ	pubkey	4104ea18134d943b4f250a00148974c58810a779635a5add0625b2020c25a0113f7005e359336514750beca3a5ffa9cdcc1bb6d93796a651d9e452f5da2907984b76ac	0	1
68952	7846c9aad559665ecaa1be83f0615bb061db7202d4ba39b8da26ea08b9c4171f	0	2010-07-19 00:00:22	4869000000	3.4083	1GfAaNjZ497uRg257QqHeJDqSeYsVUCWmc	pubkeyhash	76a914abc1afbc5c337ad7ae735fc15d137d7100a0cac088ac	0	-1
68952	7846c9aad559665ecaa1be83f0615bb061db7202d4ba39b8da26ea08b9c4171f	1	2010-07-19 00:00:22	128000000	0.0896	17LZiB3jEM6pF9BCh77HP5fW6bVcmP99oD	pubkeyhash	76a9144583f67ada49ebd8b343787273f8f45de74b685d88ac	0	-1
68952	b41df214b95870cf6431f690a65e3d4382162d16150e34d89099efb0ce216c09	0	2010-07-19 00:00:22	49999000000	34.9993	1CfUU75KmTtHdAKAS1JXui45rvepzWW7K9	pubkey	410490f929f21a5694d03a98a383a0d9da42dcd320ce3ad752beb631d719dff34ecb07556274a2d710a751bd44a404bc92d89fda2699cb3dcee80fb4cc05b3d8bc50ac	0	1
68952	b41df214b95870cf6431f690a65e3d4382162d16150e34d89099efb0ce216c09	1	2010-07-19 00:00:22	1000000	0.0007	1HkprwYEpHekX4Mjd4gPnppFzCzK9PSVxQ	pubkey	4104f9a4660ece3ccbb6b8d9f8ae9d816e57b73c7c1cb9bee8f32a5fb1810c488bdcc671b284f2be38606fd24b934fe7361cac1bd540e7351c31fc9b1af90ddb2999ac	0	1
68952	e9cbc1a23aaa2ec32691143f958428bfa3acc8797c267c130ddadc23571f9258	0	2010-07-19 00:00:22	500000000	0.35	1MJupxyypitKhTWPaZwrrrhRfPqndFbctH	pubkeyhash	76a914dec5af4d511309a41eca23f3a8c4e214b267438188ac	0	-1
68952	f45af0d9b9c79253576de3ae99348a873c707a7b6d99c0abda057eb12714c210	0	2010-07-19 00:00:22	5000000000	3.5	1AJFaRHoxRugZhSC5EGBqtf9mymTHKXU9W	pubkeyhash	76a91465fc5ef950eeb15361da2087fc75ecba2959e0e888ac	0	-1
68952	f45af0d9b9c79253576de3ae99348a873c707a7b6d99c0abda057eb12714c210	1	2010-07-19 00:00:22	10000000000	7	19N1UEsTpcHgrbY8rW5aYgcuyDu6WU8VMx	pubkeyhash	76a9145bba222d4dfa0cb5ccb8cb30a4f6448e6ec4234d88ac	0	-1
68952	3b599c31fba14af30df9a1173b37cdf65e77978075839bbc22a6598f147d7edb	0	2010-07-19 00:00:22	49999000000	34.9993	13gpcifxEbjTp92tXmgTcnTeR7gzejRSzZ	pubkey	4104a7f84ffe537eebd4b8b75d95872fcd9ed71222ea38452ea3b50af7480cec97387799360650f45d714c1ed5d6ceda37a5fd1341711a4196cccb39445d0437f43bac	0	1
68953	dadc7f965c361582f6fbf3423d5c77af69a4ec442ee91a5dc7339234098c2355	0	2010-07-19 00:03:02	5000000000	3.5	14ERPTXR66DMV3Su1BvrEppeAUb31h41EP	pubkey	41049d9153cb453fcbb4180d1f2f4182a437368687d29a0632b9ab803de70f1a7c2076c309c44301ca104f7a7273fb01242e47803a0bfc830bafbecbcf9de830e2faac	1	1
68954	389f7566c61f8b0624703fc14f73e74a376bc67330c3b1cd4e7ade794cafd2a1	0	2010-07-19 00:12:56	5001000000	3.5007	18XezyZgA2fLV6C7kShnMWZrA4QhjX1Jeh	pubkey	4104c59b9f2ed5380fc6b14d4de6ca020b0b8a9e6902454918aa287638535f95757611f3b80a4028042063598acb7256d080b6e6eebe75a30f4381ab6cf28dc98b94ac	1	1
68954	0469e5eaf4d6fba017ac1af1271e6efd318e1cc6250cbbb3d6906b572112ddb5	0	2010-07-19 00:12:56	4899000000	3.4293	1FFPeiDXVkvjDWSUFWPonff7fq8NmR9mit	pubkeyhash	76a9149c4a7dea7251e5cd3bb7898344d99167ae4a508288ac	0	-1
68954	0469e5eaf4d6fba017ac1af1271e6efd318e1cc6250cbbb3d6906b572112ddb5	1	2010-07-19 00:12:56	101000000	0.0707	19CQZ7EYnT6tqBCiDB2GRX15xdaGdQpJ47	pubkeyhash	76a91459e93e4e8b0a5567f63244454deabb1565725b0288ac	0	-1
68954	1f5de836be87ec09ccbd43cfbb0bdfe4e117700c13dcdd8651946230be23397a	0	2010-07-19 00:12:56	38000000	0.0266	1HKhBqhksHfH3E3BwL9Cz5YNQEYTfW2RXk	pubkeyhash	76a914b30b0bd2776fa02aae70b0278bbca2fe04c42efd88ac	0	-1
68954	1f5de836be87ec09ccbd43cfbb0bdfe4e117700c13dcdd8651946230be23397a	1	2010-07-19 00:12:56	5000000	0.0035	1Eq1zYcfTPkoUbqKpsufVgwUvX2DdUxuoT	pubkeyhash	76a91497ae6df8036f513ff745e763e9c3a8e83a9a321b88ac	0	-1
68954	b0f7606aa747095c8fb61b29801c8b5a9c3a580d245c3f94b3e60cd7940f33b4	0	2010-07-19 00:12:56	500000000	0.35	1HXZWgVupNRd2oX2QQxa1oboAXQF2GpNuK	pubkeyhash	76a914b549a17e05d4ea6c94fd8b977c381d2e63c1b64588ac	0	-1
68954	b0f7606aa747095c8fb61b29801c8b5a9c3a580d245c3f94b3e60cd7940f33b4	1	2010-07-19 00:12:56	943000000	0.6601	12QXzsoBBtNTZyTCogGP8Ygup9qUjhAmjp	pubkeyhash	76a9140f6b9190b26719f6a927f39caa6472dc18d3fe7c88ac	0	-1
68954	c5b8daba75b826d4a1620f0c8f2e658c414cb41137abe5313ea026487ec70169	0	2010-07-19 00:12:56	7500000000	5.25	17G8VqZ9RThPVKUXSHcpCcHTowdWB1DfHK	pubkey	4104dd8d1a6eef78e88fbd5c5e6b63561b24a81e0a5ea94fc1108763307f31a0c5ba37889eb9f0ddb8fd0e97a9fa4c1353da93fdef98c58efe0426d55b173ec18771ac	0	1
68954	d6cfda22db33ca5a43817c370182b12cebb7481c0032cb51dce5843df30a8eb7	0	2010-07-19 00:12:56	101000000	0.0707	18WgAQ6VRF8PzvfURVifT9LbpdFvoUza4X	pubkeyhash	76a9145265a25b003d47cc243bd08fd6c773e055f6703088ac	0	-1
68954	d9f3c364d58822f9914640cd2ec03798a6ba47583a113b89e563dd06ec1e23a4	0	2010-07-19 00:12:56	500000000	0.35	13qeeu4zUtcYsmHLEHxxShpSHHszBpoG4S	pubkeyhash	76a9141f23a6330f9533454edfc2ba64525ba3ec759ca488ac	0	-1
68954	de77457a929184f7ce6886d425750c22176ddcd68df91f68b5a030331f80620f	0	2010-07-19 00:12:56	2000000	0.0014	17LZiB3jEM6pF9BCh77HP5fW6bVcmP99oD	pubkeyhash	76a9144583f67ada49ebd8b343787273f8f45de74b685d88ac	0	-1
68954	de77457a929184f7ce6886d425750c22176ddcd68df91f68b5a030331f80620f	1	2010-07-19 00:12:56	4998000000	3.4986	1CtARuTueqXaECzs2jXG4oFasiMRzZF7Qo	pubkeyhash	76a9148256780bcefcee8c2bedfc5efc5fd662a75700d288ac	0	-1
68954	fb6cff36a08de4a0c6a26a71f61919cea3999c3c9a5538ced82718cab4abfc76	0	2010-07-19 00:12:56	500000000	0.35	1PiDqRCHWecqfBiJbhTPwqa9we2JFGqKgp	pubkeyhash	76a914f91e891dbb875de330bc4c458435422def1a882688ac	0	-1
68955	f217692a0488517817c832b67b7a532cfdcaae553df9b627d77bdcdc7809b474	0	2010-07-19 00:39:33	5001000000	3.5007	1GLdtFXv2uCwdgWWknKpwCu2xjJmEDhs3c	pubkey	41041e7aada382094309fe2d9485a037e973ea52d72992df50d58652433df30a4edf1dd177e548c20ff789536e10f8b6e0baad1f097a90c8f7c75320e47ac754b23bac	1	1
68955	0b7adf56a0ae1c4b21a01cb16505323d1d2f020ad1a116af80d4761cbea91a1c	0	2010-07-19 00:39:33	55500000000	38.85	1F31vbiFqhiD5uLpTyncLb3Sq9fatkScmL	pubkeyhash	76a91499f35d4327a7f52cced172734abad1602eb85e9a88ac	0	-1
68955	24a7feb043b6b6eab7e022ba4c63f179e6b2e9bbcda56adab36ad5c1ed65b92b	0	2010-07-19 00:39:33	3000000	0.0021	14yYavAtnUXTXziHpHqwaDBpRpPxYCwbXY	pubkeyhash	76a9142b9a096f0e49e8b6eac1fa4217cdfd2833e5363788ac	0	-1
68955	24a7feb043b6b6eab7e022ba4c63f179e6b2e9bbcda56adab36ad5c1ed65b92b	1	2010-07-19 00:39:33	1000000	0.0007	14XbZ2MGQHZb2dsA6JacDWDWp8heu7vjUc	pubkeyhash	76a91426b1b2e8ed3cadd5908eb9e2dbf4bb57edc55ba688ac	0	-1
68955	804a7cda9686ab1a03f7a6f93fd74d4859cee74255eb6a0e2b1953873a9601e4	0	2010-07-19 00:39:33	10000000000	7	18KiH4iBn5VjtiwGyjgAFsEBLn1A8qTauh	pubkeyhash	76a9145052d2f67feb5405d9711db5bdc2db26bf2416ea88ac	0	-1
68955	a576bb3f294bef6624df329d6457aa544ab75d6b359d47cb1db56f9f0c87a15c	0	2010-07-19 00:39:33	400000000	0.28	17NkytuAwS1YUPJvNCsDD1syKxcA8FUG58	pubkeyhash	76a91445ee340e60998ce65e8ae4c9e205dd9a3c54a0bd88ac	0	-1
68955	a576bb3f294bef6624df329d6457aa544ab75d6b359d47cb1db56f9f0c87a15c	1	2010-07-19 00:39:33	100000000	0.07	18M9yvgfFjGh1DAZ2paFNRSSjgTUFXGx1f	pubkeyhash	76a9145098b273dd7c22bb0ebd0b46177771943bcee57588ac	0	-1
68955	a806996f72caff4547d7e68861ceff8f5b540f48b19bd1537b994e99ceab5e7c	0	2010-07-19 00:39:33	300000000	0.21	16KX3hBAZr19nzya5b5zWcmSmKygd5pK12	pubkeyhash	76a9143a59329e09dbf97d3c31245e2f1ba4f64e5f9e3888ac	0	-1
68955	a806996f72caff4547d7e68861ceff8f5b540f48b19bd1537b994e99ceab5e7c	1	2010-07-19 00:39:33	100000000	0.07	18M9yvgfFjGh1DAZ2paFNRSSjgTUFXGx1f	pubkeyhash	76a9145098b273dd7c22bb0ebd0b46177771943bcee57588ac	0	-1
68955	ac6373fee299f142766316d1fcf185d59f15d3f9e0e9803e33f6025984920cbf	0	2010-07-19 00:39:33	32000000	0.0224	172R74AK4QEqL4WFBNa6uc6TiebDKnnaHX	pubkeyhash	76a91442154ac01fcc1437b8fc2f0d56381f3b7caf596a88ac	0	-1
68955	ac6373fee299f142766316d1fcf185d59f15d3f9e0e9803e33f6025984920cbf	1	2010-07-19 00:39:33	5000000	0.0035	1FREeBSbYX1gQgk3jHL4ErEePJ7W3d7pGv	pubkeyhash	76a9149e27218a6a3d6d350b4e659b36f7a88889dd6fbc88ac	0	-1
68955	d3627bee5f4fd27d1bc8b0c086092e732ceb11bf7f04331771ab817384d165b0	0	2010-07-19 00:39:33	5500000000	3.85	1LWUp4jqMG2QMjgTbkuVUhUkDZ2jyHZzCE	pubkeyhash	76a914d5fdab2a8ea6a56a1ae083bbe458f44c36f1811588ac	0	-1
68956	23b2743fe356f0cc125e19375eb37032ee4e7b8bb82c931238969e49366f1333	0	2010-07-19 00:41:52	5001000000	3.5007	1JwdLXR8V6qoDvt58uWwDstpuN3U6AHMJW	pubkey	41045af342869728e446ee551485d1bd5721771685a969026e22ec43b9be8481da80b4404f052978e2b8e395a7e57fd2bf3b967b97beb930fd75615a5c49f02394b3ac	1	1
68956	8acc1082a9f4260065fb22d24700b2c0a5efb8fa18767aa8f40e91b3036b1515	0	2010-07-19 00:41:52	5000000	0.0035	16jD8kWMTDRrdn9UJS5dLaF1s3UGupiBYn	pubkeyhash	76a9143ed43a5b1054bc40bcc7263ac50d0a13e23f0cd588ac	0	-1
68956	8acc1082a9f4260065fb22d24700b2c0a5efb8fa18767aa8f40e91b3036b1515	1	2010-07-19 00:41:52	26000000	0.0182	1QHZtoLVDEDNhkWDGgCKPnUg46Ar5XnxKf	pubkeyhash	76a914ff6d0194fcd1927c97d502398c44644175ec148888ac	0	-1
68957	39d7ca66e1e02053686606a7458ac0d943ee2fb359a9d94c3cdbc414ed7da423	0	2010-07-19 00:48:34	5000000000	3.5	115FEqCifCctaVQuwLvE7UTrChzouqjFpr	pubkey	41046d9e79c407d488273ebb886a7daf175631a3fc5cf25e9b378d473737fb92d0d166e7a733db74bf8e630a0d7496553e46f2130544478cc58852ce9eab281c7bfdac	1	1
68957	052253090d1e53e140a25c45bdcab28adb95970d7d33f67b3a357d15523a94fc	0	2010-07-19 00:48:34	100000000	0.07	17LZiB3jEM6pF9BCh77HP5fW6bVcmP99oD	pubkeyhash	76a9144583f67ada49ebd8b343787273f8f45de74b685d88ac	0	-1
68957	052253090d1e53e140a25c45bdcab28adb95970d7d33f67b3a357d15523a94fc	1	2010-07-19 00:48:34	350000000	0.245	1DPDuav9EoN4JXWEaAHwgxxZW7nXPbfGKi	pubkeyhash	76a91487d56f3a15bcee8d83baf46a38d164a5ae38df7d88ac	0	-1
