block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
14975	3d977df362bb7feaee985fd62077fa5472838972806e0e70807a4e262d4daab0	0	2009-05-19 00:10:12	5000000000	0.5	1M6qeSARj7ZyL8f95zjSvr6kDqvr4KKtpr	pubkey	410435ba7266a05277968911c9560295e086ebb73665c3e654d778307292dee2bc0c5e0f4ee7a3b9f63042c8b88cb67a1307d83983ab83661205731240c20c027746ac	1	1
14976	93732da2681a8b762e8cbe05aa132268a2b5b997a9beb447f9bba878a327b4a1	0	2009-05-19 00:27:41	5000000000	0.5	19acznE6WEZco5Uqr1uCG4qSwqUdPdnK2g	pubkey	4104aec8972f166ecdd514afbcae4afeb89ae0e74c6429f045dc8151aed2976c6fbf60c4266aabc8e9ad0bc939e0b6d275facecb7ca5a5283cb7b1ec86d9895b768dac	1	1
14977	04b63b257fc6864ff4a5f84a4f5e6e2485962b1ce6810eca56f9b076c230a867	0	2009-05-19 00:29:30	5000000000	0.5	16B8XykAgdTBycU1f8UKbXjYd79N2i35nE	pubkey	410453b765086eb9f37002f2098df73cf4236e6b47a06a960a89a6dba0152350d1faf49dbc462bd279055fec5daea3cd4db969d1e1339311a93d56531ddb0b0e1c70ac	1	1
14978	0f807b4135f4a3635a15b2e900f96362ffd7a0eca5affeb9a1c4e7642d20ef1d	0	2009-05-19 00:35:11	5000000000	0.5	1NSU7cnq8Lh7DrLWS4Z5Tvgw1j7aYa6AoT	pubkey	41049d5fea3a7d5c2b8c95c28373a5aee11183056687816311d39dd1dea3b86da4cc73fb533df7e3c3c8592a5a43647db0fd8183c0e4f1bacf41d03a8c5399624373ac	1	1
14979	0d824908e664728582db22216c35753b54684ee5c20de54905be03e11c401552	0	2009-05-19 00:33:59	5000000000	0.5	1KNn6y8YGGsVHD4Zg5w87Fqt7ct122M1s9	pubkey	410403cc9fe44592a60cf72bbedbafaf120075b28e3f2c72d4367996aea4a3c9088e546932ff395c2f6a18b647fcc9e31fd965738ca966de3a4941984740f1a299b8ac	1	1
14980	0cb9a8af87203b69c4c93a1c0dc5faaf4f2e3ea5bed86a1ca75c29bab4572c79	0	2009-05-19 00:50:14	5000000000	0.5	17iVm5ApWvnhASPUBwaE72ZGCiHgMXWiJM	pubkey	4104097516659be5de42d9c8641417f96469239a05bce82e340c5a4f9c8cd2c56c01b541eb36c23b828e35d725ea8a2831688c9b360dfaf8c2960485c9c49b1fe4e0ac	1	1
14981	aa10aea04a2aae18b0fc7ba7e9541e0d1881b0028fa2ce6aab49d6e3bc36f73d	0	2009-05-19 01:00:58	5000000000	0.5	17h5HPfvMenmN9um8JkXAR4ahAG5TM6jAk	pubkey	4104878985d2bafc9d8b55a4ade7e1260d7198dbf8315de8f73cd89f872b1c9086ee7296d7e117195bf8544ffa2c448c2df83e797ef82e196b7224f72d1cdab3a437ac	1	1
14982	e6e9180c1c408411ffb937dcc66a6294fe03b3da8bc39068d6bebd40cc2b15b0	0	2009-05-19 01:11:43	5000000000	0.5	1DGiRc1hq61g8baGQjqSynBnxMzZUQWhyE	pubkey	4104ff57c5f909e0821690399151a846b349f43c2bd0e0711ce4c5a97b4af0fe302644289e153e769fada7ef0e25d4e094a3a583f8d621e1cbdf1c2162c73c1995e8ac	1	1
14983	798292b6968c37bee84763b40ce31d3e65921c19e8a91e970c2992cc22182825	0	2009-05-19 01:19:34	5000000000	0.5	12ZbSkTfVSykf3Z52pHD5VBdDBvEPxPMoE	pubkey	4104b08901c430050d770915a9dab82d206195c7f23409cbd3de9853076b1050e45ae66a0382ae08fba031f0b87e90a29eb6fcb77e19a900089b72cfa3dddba7bb2eac	1	1
14984	6c9e06adfdbcae4f7b94615ac16237dbc62de46f25f7e2a7d2a6d85140383803	0	2009-05-19 01:31:55	5000000000	0.5	1BAZUcShX7PmhJXrdm4bHBj5KgmLxy6zjK	pubkey	41042bf11bbc80c17637485bde2e546c30fc20a336d39bebcefae1e5c5a49acf56c2f82b45d645430322de618b4cd37d977e17398e73a2349a60aff0e2e5f3780109ac	1	1
14985	8b316a9b51754c57a2213e216ab2bc37177d2676a579558f4d7f6224f7fb5c7d	0	2009-05-19 01:55:30	5000000000	0.5	1LJGmdPDZmzvMHtrwvdWhXht6PUeY6DHMW	pubkey	41049ce706ba9531eba8a2cc763caf4ed2766087eaa97e2b7a6dcfb9507279c8d2a1125d9226e2758bce21407700adef12fe7cb285446308e4f40f67e32f061ac715ac	1	1
14986	7c31f75904ac894edf61301107cbcafa84c719bc93c2a1c3855cd3ddbc3c449f	0	2009-05-19 02:01:32	5000000000	0.5	1PdUZVxmbvwhTFJksoEBQ2m1VjfpseoRx4	pubkey	41040eb0929ac4dde13a2fbe3933bd8ed5fefb378bfd0077feab0a80f6e69c87f49011e71d7a78287b4b574624bfb0772d8442170e660d9cd3fac9fb517a503480cbac	1	1
