block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
84788	77835c464e7363223da6498fa959109b355c61ac47054ab30780d1c591116af6	0	2010-10-13 00:11:38	5000000000	4.5	1Cnhz6fspcUShTXVnm9bqqZhivXoRE1aJn	pubkey	4104db1afdf8b36e9a03a449b6f060fdb931b0280edb6ef96bfd5b1a3a167bd6e7b4e92c35d9487a15560d16ca18751bc9bae67d9e44821468209c224f856f6fd056ac	1	1
84789	848e8e45d82924ad6044a7fe2299a7bfb8daa60cfd3bfc6313b6c76d97b7456b	0	2010-10-13 00:23:57	5000000000	4.5	1Dhi3dXJ2uCeYrZ19ABe1vNcDZaHNhF1Ty	pubkey	4104f01df22744575a9ee812ade59d324ae6718b5d137775cac91f7750566add0205c5550e5d671d8c69d184337c7f2a1ca28ec58ea0d0c318ba8a948ceb4563b642ac	1	1
84790	b1adec7f4ee1d6a8958310ceefc1641c6227e6902f6c9f241f6e123ce6f63638	0	2010-10-13 00:33:27	5000000000	4.5	12P7i93Law2hQ94xqKPAAuaVMeBfuVQEuc	pubkey	41041ebf2e4bcd51a2a574265de206c8c26372d67962179aedb2b11af11624d4e2aaf9dba15ed94ed8f0a48fa1f3d530d91b51540d2cb3e19e96264618db2ec302deac	1	1
84790	2a95a27720ef1ac2bcd029ce10868f77504547021113f5475e5a0c73bbf7298f	0	2010-10-13 00:33:27	5000000000	4.5	1Latnc4VXYzowUNM7opKKTz4Ft4qcJsA1k	pubkeyhash	76a914d6d3587c1e90158dd2c8dc26327cc6bee05269b788ac	0	-1
84790	59104ae74a7b3ef761a9afa82fedc1bbb3d0bb9368f0ce7bd44bd5e970b9b947	0	2010-10-13 00:33:27	10271000000	9.2439	1G5yqSGGwjDyaEMLWiBEPTqgdDh9zaZL8b	pubkeyhash	76a914a57afe80ccaee51e3dd29e556c3b9b2da69ffea988ac	0	-1
84790	59104ae74a7b3ef761a9afa82fedc1bbb3d0bb9368f0ce7bd44bd5e970b9b947	1	2010-10-13 00:33:27	1000000000	0.9	1PYYjU95wUM9XDz8mhkuC1ZcYrn4tB3vXe	pubkeyhash	76a914f74a2698d94e41a97a8ad2e96fd858f9db05559f88ac	0	-1
84791	c0e5f7aa98f613e7e49aabef71ec290d75142e450252b946efcc84310ad7b5a8	0	2010-10-13 00:53:37	5000000000	4.5	1JZnyXu1dLgtTipUPBK4jdSpwsRzxxMsp7	pubkey	41047212f739a22d9368a06cf1d2162cdea8e46784d968d887e08adcf91b5e9bfa4a2f655c29ac1f2bfbc86d02538496a43f69bddac0f1b55f80a90c2658f1ef5f76ac	1	1
84791	a6ffe8c001c5e054b22f9073e2b51cd5d4449188590312bc2fc29a1633fbdeda	0	2010-10-13 00:53:37	10004000000	9.0036	1nHBbVFepCvvuVcVp9NVpRJgSH4ycjNxP	pubkeyhash	76a91408903a156dd0cd5c96b07568cefda2217a18a85988ac	0	-1
84792	8989dd574ee5a5d2c43296bf8c5c238a14d7cead2c06566828af388468c66852	0	2010-10-13 01:02:17	5000000000	4.5	17TXnHF24Ee8dWhTGvDgvzt8E7MtHacUj7	pubkey	41040cf839c89a1f690920e2feee07788da257e573b27f857af5b07c35cffbc3a9abfe196bfdc6548efe963932091421106419bb3ac591c9641d528908baf770ffafac	1	1
84792	20c28c5541d78b09e625d6cb00a8be1bb4434315a6a705657c9a06f45f8ad938	0	2010-10-13 01:02:17	1407000000	1.2663	1pDRrd1M927Y5H8izQfVJ7UDqNWWKjsSo	pubkeyhash	76a91408edeccec19cdff6046a6c822c3ea85388514aaf88ac	0	-1
84792	20c28c5541d78b09e625d6cb00a8be1bb4434315a6a705657c9a06f45f8ad938	1	2010-10-13 01:02:17	50000000	0.045	19JhU61qAoU9fTroX7CgZhAUHCHNeoNtjX	pubkeyhash	76a9145b19db97504b0a760aa64e219c9fc642667f323e88ac	0	-1
84793	349edb9678068ac674cd21e590e4f2f441537eef6780e934e4acf3985ae62e48	0	2010-10-13 01:02:04	5000000000	4.5	16PWkqGZqKk8FNt3icz1tVuEgwfVWCkWGz	pubkey	4104f522d558291cb18c63c7671b831113ba41d65ef38d164b6b7ccb51fc7c913f7eb8b72b880edc240afdb6f65e5a2fbe6c8974251365477d95a24bc35e15cc7609ac	1	1
84794	c1c1c900d6ee9628d855900e86f2391fa2dace9cbc55c6180877e70d23bbc831	0	2010-10-13 01:08:43	5000000000	4.5	1Gf9Qu5ZfZuHruDaGx64mD6VkwH7K1MN7g	pubkey	410406e1b688411e0964b5770f46fc578a699376d30ae86ae746a2022366ca69ba649898cc91c0db360c49ebfbefe10a75f15de9f727488cdef2c65da0b75f4dab6bac	1	1
84795	e57dd69c08ce9a73139bc146c8a40b212847d2350ae3a3b60c02ab0846574d7e	0	2010-10-13 01:12:26	5000000000	4.5	1F6tWovN3AJ7sTiyHxKPXXwyuvysahDdbk	pubkey	4104e7ed3363b861eccb7365d1ae44f7ca4cc2bb7abd2d5f968a86357cd608ba0208485d445e5a1e68e3b9edd678b282bf7f72cb68d5c143961e52a47bebdde1f2ccac	1	1
84796	a628e09e870f0cb1bd1c87d20428c45ad5d7300167983304e1918cd51a01fe4e	0	2010-10-13 01:14:25	5000000000	4.5	1K5u6Ff7NHsguaS5Suuy7Uci9jc4e9S1Qd	pubkey	4104ebf0d5dac5000c3ae13e1151f2aa2c116b5d29b2fe9ff4931132d0dda658c511e39b2f06ea7068c8914371ce11b27b5dbadf22a9458f989df519f41e934bbc14ac	1	1
84797	ee6812c2546b22300b08ac6907310efa09c7b349c3e2acaed46dcffbdb77a231	0	2010-10-13 01:34:20	5000000000	4.5	1ABsvuXuagquYWzq8rMBTh5HpkhSAf6i36	pubkey	4104a4f2b3255b74f47ba03b459a671c0f14bac89feab7e3f806c68ef85b57c22795e6e5984fbe6e15f6a5f71e9b263a718a3dabfbc122eb8471f33c55bc9fb5f100ac	1	1
84798	a46dbf79fed57fd1c13973a5074be468544c2c8da1e23249026c347403a9daaf	0	2010-10-13 01:40:16	5000000000	4.5	18Hs2yVRCuPii8vFwPKqCGAxgbPuQ2TGUF	pubkey	41045f17ecff43576572a086796ab182d5710bda55f6b91e8b5b2abf28b91326fbf8eb8b9ee9cf45ed00d6a9a8ed0bdfb25eb31ab4de1a06718b6da8a4b3ddd4415aac	1	1
84799	02ea15a7ecf3232d5390282c577de44d7b2d4d1b1c629bb6d5d98396ef53b7cb	0	2010-10-13 01:46:51	5000000000	4.5	12P3EtdH5gL6BbtujNYVtnrFdo5mTe2LzW	pubkey	41044cd81e377fe06e277acf47901f1ca173e1ea2166ede7065d387be51b3069c571f7da591135f3a070e2ee42a8caa7552f250580c33458590ee08bf72e452b0bc4ac	1	1
84799	910ef8614a7ac71af53796ca67e8b04bb88567bc303dad635cc836a75e92d55d	0	2010-10-13 01:46:51	1357000000	1.2213	1KgGLVtTW2dUeYsk3VUJbBKiQsQDbBGgCX	pubkeyhash	76a914ccdf49e2625344718322e0558af50dbe56d2117488ac	0	-1
84799	910ef8614a7ac71af53796ca67e8b04bb88567bc303dad635cc836a75e92d55d	1	2010-10-13 01:46:51	50000000	0.045	1RdNamnVX3UDCemvzZiRE561G7DNUiGeM	pubkeyhash	76a91404a8585141f12c7dc42243b9a897b9337ad2060a88ac	0	-1
84800	0f79bb598ea4aadda2018c6cbd6636a9ec87cefd522f86da8bb438efe414c24d	0	2010-10-13 01:48:03	5000000000	4.5	1B4aWqsNrYZnjr8j1d6PSZrNhqJyPZ6huD	pubkey	410456d2c16328e8e439b230c7893af07c8bd4688c57e161a484c839b6292a53f8c1381e5f41602567da790d82163bed94c92a6362be85338518cb368e18c9fb984eac	1	1
